# ID,first_dist,first,second_dist,second,third_dist,third
139,     0.355,55,     0.481,159,     0.542,52
140,     0.376,187,     0.460,109,     0.510,1
141,     0.526,83,     0.732,119,     0.774,187
142,     0.399,170,     0.537,158,     0.727,97
143,     0.411,191,     0.502,67,     0.686,105
144,     0.371,148,     0.466,168,     0.472,132
145,     0.149,164,     0.452,5,     0.628,146
146,     0.628,145,     0.671,164,     0.938,193
147,     0.411,33,     0.468,102,     0.520,148
148,     0.371,144,     0.483,95,     0.520,147
149,     0.339,64,     0.358,156,     0.461,18
150,     0.162,7,     0.394,49,     0.432,70
151,     0.484,17,     0.567,131,     0.754,2
152,     0.192,58,     0.207,50,     0.450,21
153,     0.130,48,     0.176,184,     0.431,107
154,     0.220,160,     0.250,91,     0.256,188
155,     0.460,10,     0.491,50,     0.500,51
156,     0.237,18,     0.320,64,     0.358,149
157,     0.196,180,     0.242,120,     0.446,102
158,     0.537,142,     0.594,170,     0.728,175
159,     0.320,46,     0.422,13,     0.481,139
160,     0.135,188,     0.196,182,     0.200,91
161,     0.627,4,     0.654,16,     0.673,23
162,     0.274,110,     0.343,96,     0.510,56
163,     0.310,31,     0.384,85,     0.423,104
164,     0.149,145,     0.412,5,     0.664,103
165,     0.109,9,     0.703,168,     0.726,68
166,     0.433,189,     0.700,92,     0.748,184
167,     0.434,67,     0.554,97,     0.719,130
168,     0.414,114,     0.459,72,     0.466,144
169,     0.510,56,     0.705,110,     0.802,162
170,     0.399,142,     0.465,104,     0.594,158
171,     0.439,112,     0.587,128,     0.774,130
172,     0.240,51,     0.445,34,     0.574,50
173,     0.275,89,     0.341,135,     0.358,174
174,     0.358,173,     0.427,89,     0.465,117
175,     0.336,65,     0.357,45,     0.423,136
176,     0.219,122,     0.288,127,     0.589,60
177,     0.274,186,     0.390,193,     0.423,126
178,     0.207,107,     0.438,15,     0.453,184
179,     0.533,189,     0.591,86,     0.630,36
180,     0.050,120,     0.196,157,     0.465,102
181,     0.554,118,     0.615,192,     0.680,99
182,     0.196,160,     0.229,1,     0.248,188
183,     0.360,104,     0.614,170,     0.619,100
184,     0.176,153,     0.230,48,     0.351,107
185,     0.219,94,     0.375,105,     0.404,109
186,     0.274,177,     0.360,126,     0.557,193
187,     0.240,134,     0.310,83,     0.376,140
188,     0.135,160,     0.248,182,     0.256,154
189,     0.433,166,     0.533,179,     0.560,48
190,     0.403,137,     0.481,53,     0.519,74
191,     0.411,143,     0.508,67,     0.751,167
192,     0.290,99,     0.326,118,     0.442,78
193,     0.390,177,     0.436,126,     0.557,186
194,     0.317,198,     0.471,101,     0.692,78
195,     0.378,133,     0.519,105,     0.519,101
196,     0.409,85,     0.579,163,     0.687,31
197,     0.695,164,     0.834,145,     0.896,5
198,     0.317,194,     0.472,99,     0.531,192
199,     0.237,44,     0.545,123,     0.730,59
200,     0.346,129,     0.538,92,     0.625,13
