Nro,Scary,Happy,Sad,Peaceful
1,1.2889,4.4667,1.7111,3.1333
2,1.0667,5.4444,1.4889,4.4889
3,2.0222,1.4889,3.7778,2.7111
4,2.2889,4.1111,1.2667,1.4889
5,1.4,1.4667,5.0444,3.8444
6,1.6444,2.5111,3.0444,3.1556
7,2.6444,1.3333,4.2222,2.2
8,1.3778,4.6667,1.4,2.7556
9,3.9556,1.2222,4.0889,2.0222
10,0,0,0,0
