# ID,X,Y,scary,happy,sad,peaceful
133,     7.320,     8.216,     1.867,     3.778,     1.867,     2.000
134,    16.048,     3.506,     1.044,     4.222,     1.800,     3.311
135,   -12.360,    -8.808,     2.400,     1.444,     4.822,     1.933
136,    -2.845,    -9.105,     1.578,     1.889,     3.933,     2.667
137,     8.024,    -5.865,     1.067,     2.711,     3.067,     3.156
138,    -3.014,     7.917,     3.489,     2.511,     2.467,     1.200
139,   -18.691,     6.916,     4.067,     1.511,     2.600,     1.556
140,    13.928,     5.271,     1.222,     4.067,     1.600,     2.844
141,    14.319,     1.591,     1.422,     4.289,     2.489,     3.311
142,     0.616,    -3.672,     1.400,     2.756,     3.467,     2.200
143,     7.627,     2.741,     1.422,     4.044,     2.644,     2.378
144,   -19.034,     3.588,     4.244,     1.378,     3.289,     1.756
145,    -7.336,   -15.509,     1.422,     1.244,     5.333,     3.578
146,    -8.761,   -15.938,     1.267,     1.311,     5.822,     3.222
147,   -15.829,     2.236,     3.622,     1.289,     3.356,     1.689
148,   -17.877,     2.660,     4.044,     1.533,     3.511,     1.600
149,    -1.202,   -16.314,     1.200,     2.178,     3.978,     4.044
150,   -10.065,    -6.761,     2.511,     1.289,     4.178,     2.267
151,    19.221,     1.827,     1.044,     4.822,     1.778,     4.178
152,    13.146,    -5.544,     1.089,     3.111,     2.422,     3.956
153,   -24.226,     8.543,     5.133,     1.533,     2.578,     1.289
154,    16.574,     6.693,     1.356,     4.622,     1.467,     3.067
155,    12.886,    -2.536,     1.400,     3.267,     1.956,     3.622
156,    -2.662,   -15.789,     1.133,     1.978,     4.267,     4.022
157,   -12.577,     0.388,     3.200,     1.444,     3.578,     2.111
158,     0.270,    -5.098,     1.622,     2.844,     3.867,     2.467
159,   -19.184,     8.512,     4.289,     1.822,     2.311,     1.600
160,    17.986,     5.339,     1.222,     4.556,     1.511,     3.222
161,     5.252,    11.536,     2.756,     3.822,     1.511,     1.311
162,    16.061,    10.652,     1.333,     5.156,     1.200,     2.467
163,    -1.824,    -0.509,     1.933,     2.467,     3.200,     1.689
164,    -7.340,   -16.536,     1.378,     1.267,     5.378,     3.711
165,   -17.332,    -2.102,     3.956,     1.178,     4.178,     1.978
166,   -26.364,     9.126,     5.667,     1.467,     2.044,     1.111
167,     5.057,     0.087,     1.667,     3.311,     2.978,     2.200
168,   -19.809,     2.025,     4.356,     1.133,     3.667,     1.711
169,    18.044,    11.634,     1.111,     5.844,     1.289,     2.800
170,    -0.225,    -2.801,     1.778,     2.711,     3.356,     2.244
171,     0.958,     4.191,     2.556,     2.644,     2.444,     2.711
172,    15.740,    -1.693,     1.156,     3.711,     2.044,     4.089
173,   -11.219,    -9.443,     2.200,     1.378,     4.844,     2.200
174,   -11.752,   -10.454,     2.378,     1.267,     5.000,     2.444
175,    -1.193,    -7.652,     1.489,     2.178,     3.644,     2.600
176,    -4.704,   -13.456,     1.756,     1.622,     4.333,     3.444
177,    -9.340,   -13.004,     1.800,     1.422,     5.022,     2.889
178,   -22.010,     8.942,     4.756,     1.400,     2.400,     1.622
179,   -26.105,    10.916,     6.067,     1.156,     2.667,     1.333
180,   -11.785,    -0.115,     3.044,     1.533,     3.644,     2.067
181,    10.939,    14.090,     2.022,     5.089,     1.244,     1.156
182,    17.253,     4.242,     1.200,     4.467,     1.644,     3.333
183,    -2.080,    -2.815,     1.933,     2.244,     3.022,     2.400
184,   -23.586,     7.824,     5.067,     1.556,     2.422,     1.333
185,    11.140,     5.055,     1.600,     3.800,     1.844,     2.711
186,    -9.146,   -11.971,     1.978,     1.289,     4.889,     2.978
187,    14.803,     3.819,     1.133,     4.089,     1.822,     3.133
188,    16.888,     5.480,     1.267,     4.467,     1.422,     3.244
189,   -25.267,     9.802,     5.667,     1.400,     2.467,     1.178
190,     9.222,    -6.995,     1.067,     2.689,     3.022,     3.556
191,     6.661,     2.762,     1.556,     3.956,     2.667,     2.000
192,    10.634,    12.552,     1.756,     4.644,     1.356,     1.467
193,   -10.606,   -13.166,     1.689,     1.222,     5.222,     2.644
194,    10.162,     9.802,     1.689,     4.289,     1.356,     2.133
195,     8.040,     7.196,     1.689,     3.600,     1.667,     2.200
196,    -2.088,     1.362,     2.333,     2.644,     3.067,     1.333
197,    -7.252,   -17.757,     1.133,     1.156,     5.733,     4.244
198,     9.649,    10.879,     1.844,     4.356,     1.467,     1.889
199,    12.206,    -9.711,     1.289,     2.578,     3.200,     4.622
200,   -25.419,     6.519,     4.911,     2.044,     1.711,     1.200
